Feature,Correlation_with_is_bot,Abs_Correlation
burst_alignment_score,0.9675036875672598,0.9675036875672598
burst_window_anomaly,0.9675036875672598,0.9675036875672598
blacklist_match_probability,0.96713338038331,0.96713338038331
checkout_attempts_per_session,0.9572514264154854,0.9572514264154854
temporal_risk_score,0.9439012178531848,0.9439012178531848
request_burst_intensity,0.9401999679256894,0.9401999679256894
mouse_entropy,-0.9287269037030204,0.9287269037030204
mouse_activity_anomaly,0.9287269037030197,0.9287269037030197
behavioral_risk_score,0.9202597982259488,0.9202597982259488
tls_signature_stability,0.9197684424613799,0.9197684424613799
tls_signature_entropy,-0.9197684424613788,0.9197684424613788
device_fingerprint_reuse_count,0.914716137094592,0.914716137094592
request_rate_per_sec,0.9099299668867552,0.9099299668867552
request_rate_anomaly,0.9099299668867552,0.9099299668867552
otp_solve_speed,0.909683653225686,0.909683653225686
form_fill_efficiency,0.8865055633055415,0.8865055633055415
session_duration_sec,-0.8864325970922906,0.8864325970922906
content_consumption_speed,0.867493228883375,0.867493228883375
scroll_depth_pct,-0.8654162878067347,0.8654162878067347
page_interaction_depth,-0.8654162878067343,0.8654162878067343
pnr_search_velocity,0.8617512266286997,0.8617512266286997
ensemble_bot_probability,0.8569111210584185,0.8569111210584185
inter_request_timing_regularity,0.849775208268888,0.849775208268888
otp_solve_time_sec,-0.7695064594274486,0.7695064594274486
form_fill_volatility_indicator,-0.744539165976413,0.744539165976413
form_fill_time_sec,-0.7445391659764121,0.7445391659764121
inter_request_variance_ms,-0.732444595030986,0.732444595030986
page_view_time_sec,-0.7056330053102438,0.7056330053102438
prior_fraud_flag,0.6965215677332064,0.6965215677332064
ja3_hash_stability,0.6295971842864495,0.6295971842864495
device_consistency_score,0.6295971842864495,0.6295971842864495
device_consistency_anomaly,-0.629597184286449,0.629597184286449
behavioral_entropy,-0.6285445315186893,0.6285445315186893
keystroke_interval_ms,-0.6166952941229296,0.6166952941229296
aadhaar_verified,-0.6138778122586117,0.6138778122586117
device_risk_score,0.6104838039352085,0.6104838039352085
keystroke_consistency,0.5962342204767972,0.5962342204767972
requests_per_session_zscore,-0.5457631094681489,0.5457631094681489
requests_per_session,-0.5457631094681478,0.5457631094681478
ip_reputation_proxy_signal,0.4995473283392784,0.4995473283392784
geo_variance_km,-0.48032523510118,0.48032523510118
account_age_days_proxy,-0.46047383979736384,0.46047383979736384
user_agent_diversity,-0.23779186031797098,0.23779186031797098
user_agent_volatility,0.23779186031797064,0.23779186031797064
time_to_release_minutes,-0.002330184844714098,0.002330184844714098
volume_anomaly_score,,
